,id,nom,commune,isActive,latitude,longitude,cityRank,code_commune
3262,2405,Le Replat,"{'codeCommune': '38422', 'nom': ""Saint-Martin-d'Uriage"", 'availableForSeniors': False}",True,45.161493,5.85039,,38422
3263,2406,Le Noyarey,"{'codeCommune': '38422', 'nom': ""Saint-Martin-d'Uriage"", 'availableForSeniors': False}",True,45.161697,5.842805,,38422
3264,2407,Le Pinet,"{'codeCommune': '38422', 'nom': ""Saint-Martin-d'Uriage"", 'availableForSeniors': False}",True,45.165243,5.848523,,38422
3265,4786,Les Bretonnières,"{'codeCommune': '38426', 'nom': 'Saint-Maximin', 'availableForSeniors': False}",True,45.437431,6.056558,,38426
3266,4787,Route des Bruns,"{'codeCommune': '38426', 'nom': 'Saint-Maximin', 'availableForSeniors': False}",True,45.431729,6.048119,,38426
3267,4788,Mairie,"{'codeCommune': '38426', 'nom': 'Saint-Maximin', 'availableForSeniors': False}",True,45.428601,6.037816,,38426
3268,4789,Route de la Combe,"{'codeCommune': '38426', 'nom': 'Saint-Maximin', 'availableForSeniors': False}",True,45.429241,6.026693,,38426
3269,4790,La Combe,"{'codeCommune': '38426', 'nom': 'Saint-Maximin', 'availableForSeniors': False}",True,45.421675,6.025497,,38426
3270,4791,Vieux Saint Maximin,"{'codeCommune': '38426', 'nom': 'Saint-Maximin', 'availableForSeniors': False}",True,45.422036,6.033927,,38426
3271,5727,Pré Long,"{'codeCommune': '38430', 'nom': 'Saint-Mury-Monteymond', 'availableForSeniors': False}",True,45.201746,5.918109,,38430
3272,2732,La Palud,"{'codeCommune': '38430', 'nom': 'Saint-Mury-Monteymond', 'availableForSeniors': False}",True,45.220087,5.928266,,38430
3273,2734,Mas Vieux,"{'codeCommune': '38430', 'nom': 'Saint-Mury-Monteymond', 'availableForSeniors': False}",True,45.225195,5.927595,,38430
3274,2184,Route de St Pancrasse,"{'codeCommune': '38431', 'nom': 'Saint-Nazaire-les-Eymes', 'availableForSeniors': False}",True,45.25702,5.84718,,38431
3275,3003,Mairie,"{'codeCommune': '38431', 'nom': 'Saint-Nazaire-les-Eymes', 'availableForSeniors': False}",True,45.246912,5.85134,,38431
3276,3004,Moulin,"{'codeCommune': '38431', 'nom': 'Saint-Nazaire-les-Eymes', 'availableForSeniors': False}",True,45.242206,5.848295,,38431
3277,3005,La Gare,"{'codeCommune': '38431', 'nom': 'Saint-Nazaire-les-Eymes', 'availableForSeniors': False}",True,45.250937,5.852092,,38431
3278,3007,Le Cerf,"{'codeCommune': '38431', 'nom': 'Saint-Nazaire-les-Eymes', 'availableForSeniors': False}",True,45.255545,5.845,,38431
3279,3008,Les Ratz,"{'codeCommune': '38431', 'nom': 'Saint-Nazaire-les-Eymes', 'availableForSeniors': False}",True,45.25819,5.851187,,38431
