id,code_commune,nom_commune,code_departement,nom_departement,code_region,nom_region,latitude,longitude,commentaire
73,2189,Chivres-en-Laonnois,2,Aisne,32,Hauts-de-France,49.6333849,3.8412538,CHIVRES EN LAONNOIS - PARKING COVOITURAGE
74,2189,Chivres-en-Laonnois,2,Aisne,32,Hauts-de-France,49.6322551,3.8385265,CHIVRES EN LAONNOIS EPICERIE
75,2208,Concevreux,2,Aisne,32,Hauts-de-France,49.3764845,3.7874362,CONCEVREUX
76,2211,Condé-sur-Suippe,2,Aisne,32,Hauts-de-France,49.4255283,3.9589691,CONDE SUR SUIPPE - sucrerie
77,2211,Condé-sur-Suippe,2,Aisne,32,Hauts-de-France,49.419855,3.9510205,CONDE SUR SUIPPE - Mairie
78,2211,Condé-sur-Suippe,2,Aisne,32,Hauts-de-France,49.4182533,3.9503559,CONDE SUR SUIPPE - Ecole
79,2218,Coucy-lès-Eppes,2,Aisne,32,Hauts-de-France,49.5526736,3.7688282,COUCY LES EPPES abri bus Boulangerie
80,2218,Coucy-lès-Eppes,2,Aisne,32,Hauts-de-France,49.5558735,3.7743978,COUCY LES EPPES GARE
81,2229,Courtrizy-et-Fussigny,2,Aisne,32,Hauts-de-France,49.5201395,3.7889958,COURTRIZY ET FUSSIGNY
82,2274,Ébouleau,2,Aisne,32,Hauts-de-France,49.6728559,3.8758179,EBOULEAU ABRI BUS
83,2299,Évergnicourt,2,Aisne,32,Hauts-de-France,49.4450423,4.0409458,EVERGNICOURT - STADE
84,2299,Évergnicourt,2,Aisne,32,Hauts-de-France,49.4427681,4.0414621,EVERGNICOURT - MAIRIE
85,2346,Gizy,2,Aisne,32,Hauts-de-France,49.5989943,3.7721594,GIZY  - MAIRIE
86,2346,Gizy,2,Aisne,32,Hauts-de-France,49.6086314,3.7928108,GIZY  - GARE
87,2350,Goudelancourt-lès-Pierrepont,2,Aisne,32,Hauts-de-France,49.6691154,3.8534444,GOUDELANCOURT ABRI BUS
88,2350,Goudelancourt-lès-Pierrepont,2,Aisne,32,Hauts-de-France,49.675232,3.8442543,GOUDELANCOURT-BEAUVOIS
89,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4426843,3.9668056,VILLENEUVE SUR AISNE / GUIGNICOURT / park du chateau d'eau
90,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4397565,3.9664791,VILLENEUVE SUR AISNE / GUIGNICOURT / croisette
91,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4378494,3.9655858,VILLENEUVE SUR AISNE / GUIGNICOURT / co voiturage rotonde
92,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4380169,3.9704257,VILLENEUVE SUR AISNE / GUIGNICOURT / City park
93,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4330231,3.9709352,VILLENEUVE SUR AISNE / GUIGNICOURT / Centre social
94,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4344744,3.9663491,VILLENEUVE SUR AISNE / GUIGNICOURT / maison de services publiques
95,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.434593,3.9618749,VILLENEUVE SUR AISNE / GUIGNICOURT / Gare
96,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.432693,3.9532843,VILLENEUVE SUR AISNE / GUIGNICOURT / Covoiturage Mauchamp
97,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4192793,4.0071454,VILLENEUVE SUR AISNE / Menneville Centre
98,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4426843,3.9668056,VILLENEUVE SUR AISNE / GUIGNICOURT / park du chateau d'eau
99,2360,Guignicourt,2,Aisne,32,Hauts-de-France,49.4397565,3.9664791,VILLENEUVE SUR AISNE / GUIGNICOURT / croisette
